Run, Subruns, All fills, Laser fills, Tracks, Quality tracks, Vertices, Quality vertices
16113, 38, 2930, 319, 499725, 62851, 486930, 32082
16114, 151, 12002, 1335, 2032104, 254415, 1980486, 130111
16116, 339, 26800, 2978, 4502749, 563337, 4388294, 288020
16115, 474, 37816, 4206, 6353336, 795005, 6191958, 406881
16117, 404, 33008, 3663, 5077036, 629667, 4945870, 320089
16118, 286, 23175, 2557, 3543309, 438130, 3450841, 222913
16119, 456, 37561, 4170, 5698876, 705177, 5550498, 358451
16120, 467, 38580, 4287, 5893856, 729798, 5739908, 370968
16123, 15, 1241, 138, 190890, 23502, 185915, 12038
16124, 12, 994, 110, 152455, 19033, 148491, 9646
16121, 413, 33947, 3775, 5241098, 651195, 5104630, 332162
16122, 240, 19797, 2202, 3044457, 378768, 2965072, 192915
16126, 81, 6798, 755, 1031850, 128773, 1004828, 66001
16127, 32, 2520, 280, 439901, 54666, 428691, 27962
16129, 229, 17980, 1999, 3157822, 395189, 3078490, 202652
16130, 28, 2197, 243, 385597, 48287, 375946, 24739
16125, 474, 39242, 4357, 5979833, 742790, 5824708, 378657
16132, 32, 2523, 281, 441443, 55366, 430226, 28254
16128, 409, 32293, 3597, 5590746, 701338, 5449671, 359284
16133, 119, 9372, 1045, 1631640, 204460, 1590423, 105141
16134, 454, 36248, 3983, 6123439, 764732, 5967807, 390845
16135, 455, 36246, 4010, 6129275, 762943, 5973349, 390147
16136, 447, 35591, 3949, 6043368, 749572, 5888901, 383576
16138, 87, 6796, 760, 1188440, 147117, 1158338, 75400
16142, 101, 7939, 883, 1396964, 172863, 1361269, 88823
16144, 11, 858, 95, 153189, 18865, 149373, 9798
16137, 403, 31780, 3531, 5536419, 685535, 5395356, 351101
16145, 213, 16803, 1877, 2933211, 364292, 2859667, 187327
16143, 340, 26915, 3000, 4624555, 571157, 4507581, 293284
16148, 111, 8754, 975, 1526496, 191902, 1487905, 98617
16146, 424, 33475, 3735, 5826402, 726292, 5679287, 373503
16147, 419, 33087, 3692, 5765823, 721417, 5620813, 370291
16149, 441, 34775, 3873, 6108593, 768982, 5955202, 394877
16154, 460, 36251, 4041, 6364316, 805494, 6205104, 412985
16150, 450, 35420, 3891, 6238242, 788799, 6081749, 404724
16155, 401, 31616, 3526, 5548727, 703584, 5410015, 361065
16156, 467, 36782, 4097, 6470577, 820983, 6308763, 422282
16157, 447, 35213, 3928, 6207047, 789162, 6051593, 405503
16158, 466, 36697, 4090, 6455241, 822466, 6293462, 422769
16159, 466, 36691, 4093, 6503659, 833042, 6341594, 428728
16160, 467, 36825, 4107, 6533621, 837531, 6370762, 431735
16163, 126, 9949, 1111, 1738981, 223103, 1695293, 114481
16161, 444, 35041, 3904, 6194941, 795406, 6041175, 409633
16165, 21, 1657, 181, 291104, 37432, 283733, 19254
16162, 470, 37079, 4072, 6539838, 838543, 6376059, 430474
16167, 390, 30767, 3427, 5447609, 700441, 5311830, 360375
16166, 451, 35563, 3969, 6266267, 805578, 6110043, 415232
16168, 218, 17165, 1883, 3042184, 390689, 2966052, 200490
16172, 371, 29262, 3262, 5133546, 661334, 5004563, 338608
16171, 458, 36141, 4026, 6393264, 820690, 6234358, 421536
16173, 408, 32416, 3616, 5669468, 733019, 5527939, 376674
16175, 366, 28939, 3228, 5081814, 656385, 4954979, 337812
16174, 406, 32124, 3579, 5603117, 722579, 5462480, 370326
16178, 41, 3214, 354, 563185, 73306, 548907, 37493
16176, 463, 36463, 4000, 6406978, 830561, 6246247, 425722
16179, 76, 5981, 669, 1058052, 137232, 1031682, 70292
16177, 366, 28834, 3223, 5056507, 655804, 4930328, 334844
16183, 113, 8813, 971, 1553630, 202063, 1514100, 103369
16182, 465, 36455, 4069, 6461380, 842059, 6300635, 432690
16180, 471, 36985, 4053, 6556196, 852439, 6392692, 438041
16185, 174, 13591, 1513, 2417572, 316075, 2357670, 162645
16184, 470, 36793, 4100, 6544282, 853104, 6381945, 438016
16188, 113, 8864, 992, 1565003, 204363, 1525839, 104803
16186, 445, 34671, 3810, 6158737, 804130, 6004427, 411359
16187, 452, 35259, 3876, 6262132, 817555, 6105929, 418403
16190, 206, 16223, 1810, 2860006, 372141, 2788326, 190183
16189, 452, 35563, 3955, 6310738, 823274, 6152727, 422492
16191, 453, 35694, 3979, 6311358, 822766, 6154168, 421019
16192, 462, 36416, 4063, 6482981, 845674, 6323818, 436034
16193, 468, 36920, 4120, 6584664, 858064, 6422069, 442425
16194, 246, 19441, 2166, 3453080, 450491, 3367906, 232826
16196, 384, 30271, 3376, 5431504, 705039, 5297179, 362767
16195, 452, 35619, 3909, 6354368, 823501, 6196250, 424461
16199, 473, 37368, 4166, 6480463, 839087, 6316844, 427297
16200, 426, 33548, 3735, 5932104, 768031, 5784511, 394043
16201, 434, 34116, 3741, 6005587, 778671, 5854093, 397736
16202, 445, 34902, 3888, 6195614, 803528, 6040043, 411102
16228, 19, 1679, 186, 301400, 38273, 293810, 19623
16227, 70, 6079, 680, 1083542, 137987, 1056594, 70372
16203, 136, 10695, 1194, 1915841, 249347, 1868646, 128480
16229, 426, 37423, 4172, 6463741, 823316, 6299992, 420603
16231, 433, 37672, 4194, 6649849, 844901, 6482408, 431947
16230, 453, 39474, 4396, 6953555, 882061, 6777571, 450795
16234, 243, 21095, 2355, 3714051, 472424, 3619915, 240738
16232, 439, 38223, 4262, 6732462, 856040, 6562793, 436815
16233, 428, 37205, 4085, 6610176, 841095, 6444804, 430010
