Run, Subruns, All fills, Laser fills, Tracks, Quality tracks, Vertices, Quality vertices
17070, 35, 3790, 215, 489521, 59927, 476847, 30584
17068, 32, 3411, 310, 485845, 58632, 473432, 29907
17073, 137, 14324, 418, 2139388, 260156, 2084402, 133704
17072, 171, 17785, 1126, 2679253, 324805, 2610687, 166673
17075, 25, 2663, 242, 381330, 46799, 371541, 23860
17065, 282, 29343, 2668, 4383981, 530702, 4269935, 271127
17066, 403, 42199, 3767, 6244241, 757278, 6082338, 387512
17078, 46, 4873, 442, 690477, 83861, 672618, 43076
17077, 204, 21897, 1990, 3096780, 379356, 3017415, 193987
17076, 264, 28195, 2564, 4039216, 495074, 3935441, 253151
17080, 2, 218, 21, 27637, 3342, 26929, 1707
17081, 29, 3144, 279, 406935, 50186, 396368, 25660
17082, 1, 107, 9, 13741, 1694, 13392, 868
17079, 150, 16158, 1470, 2255457, 276034, 2197128, 140983
17089, 4, 445, 41, 53257, 6464, 51931, 3307
17083, 4, 429, 36, 55920, 6813, 54491, 3518
17074, 455, 48500, 4410, 6887619, 841334, 6710366, 430600
17094, 2, 228, 21, 25642, 3120, 24979, 1619
17097, 3, 337, 20, 38434, 4655, 37459, 2354
17093, 31, 3508, 302, 394103, 48193, 384017, 24425
17098, 138, 15466, 11, 1849566, 227378, 1801948, 115988
17107, 154, 16266, 1479, 2362081, 289288, 2301497, 148053
17105, 415, 44514, 3879, 4882528, 75, 4588402, 27
17109, 140, 14782, 1342, 2144540, 262737, 2089197, 134315
17113, 74, 7773, 707, 1145850, 140180, 1116419, 72040
17108, 451, 47884, 4351, 6837679, 837075, 6662081, 428116
17116, 64, 6729, 612, 990154, 121470, 964587, 62155
17110, 477, 50568, 3637, 7217201, 884276, 7030584, 451680
17112, 391, 40898, 1162, 6001608, 735527, 5846879, 376411
17118, 310, 32623, 2969, 4797584, 588543, 4674201, 301113
17120, 218, 22907, 2084, 3358652, 412054, 3272006, 211337
17117, 435, 45505, 2973, 6709200, 823164, 6536273, 421154
17123, 290, 30240, 15, 4435234, 541337, 4320393, 277783
17121, 479, 50323, 4573, 7358938, 900965, 7169511, 460752
17126, 31, 3269, 298, 477092, 58449, 464923, 30082
17122, 430, 45174, 4109, 6597650, 807782, 6428091, 413309
17124, 470, 49266, 3308, 7217157, 883117, 7032012, 451922
17128, 98, 10302, 937, 1506021, 184524, 1467456, 94446
17130, 57, 6021, 548, 876174, 107536, 853616, 55086
17132, 111, 11700, 1063, 1687890, 205977, 1644466, 105401
17134, 55, 5829, 530, 839882, 102423, 817993, 52402
17127, 453, 47635, 4329, 6978643, 854242, 6799069, 437432
17135, 89, 9479, 863, 1367753, 166126, 1332638, 85293
17129, 433, 45822, 4168, 6674454, 818543, 6502291, 419193
17133, 415, 44133, 4011, 6319890, 770438, 6156858, 393828
17143, 96, 10159, 923, 1475617, 179677, 1437419, 91995
17147, 67, 7093, 644, 1039874, 126656, 1012920, 65137
17145, 134, 14186, 1290, 2060899, 250958, 2008076, 128494
17140, 384, 40825, 3707, 5885326, 715405, 5734233, 366082
17148, 124, 13139, 1194, 1924924, 234835, 1875149, 120544
