Run, Subruns, All fills, Laser fills, Tracks, Quality tracks, Vertices, Quality vertices
16355, 95, 8926, 991, 1429984, 176300, 1392990, 89930
16359, 126, 11829, 1312, 1924241, 239622, 1874795, 122605
16357, 424, 39603, 4399, 6469987, 803188, 6303757, 409352
16356, 422, 39713, 4387, 6339905, 784353, 6176111, 399005
16358, 410, 38254, 4242, 6290399, 784170, 6129739, 399948
16362, 311, 29244, 3243, 4726267, 589151, 4604830, 300248
16366, 73, 6901, 765, 1109100, 138212, 1080601, 70506
16365, 400, 37755, 4187, 6065622, 756062, 5909023, 385794
16364, 389, 36591, 4063, 5916570, 737140, 5764695, 375779
16363, 431, 40485, 4497, 6560311, 817353, 6391138, 415467
16367, 398, 37437, 4161, 6063773, 757032, 5908218, 385399
16371, 26, 2442, 271, 398133, 49676, 387878, 25434
16368, 399, 37501, 4162, 6089512, 764382, 5933841, 389902
16369, 405, 38055, 4222, 6178378, 775731, 6021255, 394915
16370, 400, 37562, 4177, 6120009, 769277, 5963502, 392161
16374, 176, 16438, 1830, 2684427, 337254, 2616002, 171845
16372, 462, 43313, 4817, 7059836, 886365, 6879677, 451319
16373, 474, 44206, 4908, 7214581, 907141, 7029709, 461742
16376, 433, 40306, 4478, 6589261, 828499, 6420227, 421824
16377, 462, 43215, 4798, 7042940, 888750, 6862338, 453790
16381, 13, 1210, 133, 198221, 25124, 193075, 12944
16383, 159, 14852, 1654, 2427193, 304535, 2364998, 154687
16378, 423, 39532, 4392, 6459902, 814274, 6294908, 415069
16379, 384, 35985, 4007, 5875386, 739315, 5725204, 376924
16410, 117, 11320, 1257, 1708889, 214098, 1664947, 109298
16380, 431, 40411, 4444, 6590903, 828371, 6421501, 421093
16413, 303, 29086, 3231, 4465627, 556432, 4350677, 284279
16412, 445, 42919, 4768, 6530645, 816794, 6363459, 417476
16414, 466, 44720, 4969, 6881204, 858117, 6704200, 437747
16415, 466, 44740, 4970, 6884168, 861325, 6708083, 439673
16416, 433, 41623, 4626, 6390414, 801477, 6227108, 409099
16417, 436, 41936, 4661, 6444577, 809779, 6279605, 413976
16419, 410, 39329, 4369, 6071438, 767498, 5916923, 392070
16418, 469, 45132, 5014, 6926839, 873577, 6750193, 446647
16422, 367, 35218, 3915, 5452483, 692576, 5313314, 353673
