Run, Subruns, All fills, Laser fills, Tracks, Quality tracks, Vertices, Quality vertices
15921, 336, 24415, 2717, 3889479, 503730, 3790260, 256795
15922, 474, 34494, 3839, 5492140, 710913, 5351584, 362556
15923, 477, 34735, 3865, 5522062, 712948, 5380560, 363752
15924, 466, 34016, 3785, 5383921, 695483, 5245475, 354530
15926, 472, 34476, 3839, 5426924, 700369, 5287728, 356635
15925, 473, 34555, 3847, 5450886, 704696, 5311223, 359504
15927, 447, 32601, 3625, 5157671, 666850, 5025484, 339365
15929, 490, 35795, 3985, 5619296, 724543, 5475980, 369865
15928, 483, 35266, 3925, 5550010, 716431, 5407900, 365187
15932, 374, 27269, 3033, 4313459, 555543, 4202709, 283362
15930, 452, 33001, 3674, 5200021, 670226, 5065758, 341129
15931, 476, 34720, 3866, 5494396, 708975, 5353100, 361341
15933, 386, 28132, 3123, 4454282, 573426, 4339741, 292456
15934, 452, 32930, 3665, 5206639, 669617, 5072893, 340869
15935, 332, 24229, 2696, 3824264, 491825, 3725473, 250193
15936, 170, 12359, 1377, 1960119, 252317, 1909767, 128757
15937, 486, 35354, 3938, 5606707, 719278, 5462331, 367084
15938, 489, 35689, 3970, 5505862, 708113, 5363779, 360710
15939, 455, 33153, 3684, 5112026, 657763, 4980029, 334819
15940, 126, 9016, 999, 1447016, 185825, 1410176, 94269
15941, 246, 17621, 1952, 2913305, 371359, 2838280, 189925
15942, 314, 22253, 2477, 3804328, 485487, 3706735, 248532
15943, 481, 34167, 3801, 5802579, 740355, 5653622, 378197
15944, 445, 31598, 3516, 5342524, 681229, 5204576, 348211
15945, 385, 27364, 3000, 4614264, 587598, 4495560, 299682
15946, 482, 34279, 3814, 5775069, 734590, 5626651, 375575
15947, 479, 34119, 3802, 5745073, 729197, 5597051, 372696
15948, 454, 32341, 3595, 5453118, 691882, 5312541, 353420
15949, 483, 34466, 3829, 5794829, 735978, 5645010, 375305
15950, 444, 31657, 3522, 5329319, 675721, 5191749, 345012
15952, 213, 15115, 1678, 2573413, 327616, 2507124, 167357
15951, 478, 33944, 3768, 5778966, 733202, 5629705, 374665
15953, 416, 29670, 3286, 4999295, 635358, 4870364, 324602
15957, 418, 29914, 3332, 4978412, 630851, 4849686, 321305
15955, 432, 30739, 3418, 5181246, 656782, 5048315, 335566
15958, 472, 33712, 3751, 5627814, 713040, 5481455, 363307
15959, 452, 32277, 3592, 5379204, 680615, 5239658, 346609
15960, 466, 33175, 3695, 5571864, 705759, 5428064, 359322
15961, 132, 9396, 1047, 1573904, 199227, 1533429, 102024
15964, 38, 2698, 300, 460797, 58323, 448891, 29866
15968, 270, 19341, 2152, 3199865, 405762, 3117285, 207191
15963, 485, 34460, 3834, 5840260, 739572, 5690521, 377249
15967, 394, 27994, 3117, 4748341, 600381, 4625457, 306453
15970, 46, 3352, 373, 530842, 67026, 517315, 33859
15969, 89, 6562, 731, 996595, 126736, 970349, 64292
15973, 129, 9137, 1018, 1571444, 198250, 1531153, 101531
15972, 361, 25723, 2865, 4338660, 548227, 4227086, 280161
15974, 452, 31999, 3562, 5535438, 695932, 5392356, 355181
15975, 464, 33038, 3676, 5582419, 700523, 5437947, 356418
15977, 460, 32894, 3660, 5485462, 687784, 5341780, 349374
15978, 469, 33613, 3740, 5589097, 699213, 5442694, 354685
15981, 468, 33710, 3751, 5553689, 694592, 5408681, 353056
15982, 479, 34456, 3833, 5703445, 713227, 5553987, 362811
15984, 479, 34342, 3824, 5723789, 717670, 5574436, 364394
15985, 453, 32598, 3630, 5369587, 674687, 5229921, 342505
15986, 488, 35122, 3911, 5844907, 734293, 5692857, 374146
15987, 442, 31500, 3504, 5321865, 668616, 5184410, 340635
15991, 125, 8866, 987, 1513569, 190498, 1474382, 97273
15988, 479, 34128, 3800, 5769727, 726535, 5619883, 370672
15989, 472, 33590, 3737, 5682030, 714659, 5534715, 364863
