Track vertices, quality track vertices
26046172, 5625977
19889915, 4295310
22751651, 4906600
19106236, 4128782
23288173, 5009207
19, 4
25494151, 5484331
1998263, 431038
1978848, 434845
1925717, 423866
1971498, 431858
15966316, 3435244
2012960, 442902
1974926, 433682
1973790, 432625
1989032, 435572
1904610, 418317
1998061, 438092
1911401, 420423
1923238, 422174
1989140, 437150
1988990, 436742
1850885, 406430
2005819, 440083
1993453, 438183
2029752, 445032
1649674, 362355
1746336, 384037
2029059, 443754
1954885, 429664
2001067, 438940
1990041, 437190
1792472, 393716
1739318, 382320
1896125, 416740
2006765, 439868
2012408, 440431
1973416, 433124
1946464, 426808
1770844, 388544
1701458, 373475
2016076, 442247
2017378, 442999
2005412, 440118
2018827, 443355
874898, 192108
1998954, 439146
1968768, 431428
2004078, 439300
